full_var_info,measure_type,retrieval_practice,change_direction,condition,prop,actual_net,actual_pair
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.42857142857142855,h,pair_474
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_12
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0,h,pair_474
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.08333333333333333,a,pair_12
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.6666666666666666,h,pair_474
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.5,a,pair_12
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.1111111111111111,h,pair_474
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.5,a,pair_13
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.3333333333333333,h,pair_475
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_13
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.5,h,pair_475
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.13333333333333333,a,pair_13
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.09090909090909091,h,pair_475
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.3333333333333333,a,pair_13
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.36363636363636365,h,pair_475
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.375,a,pair_14
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.16666666666666666,h,pair_476
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_14
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.16666666666666666,h,pair_476
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.06666666666666667,a,pair_14
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.18181818181818182,h,pair_476
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.4666666666666667,a,pair_14
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.36363636363636365,h,pair_476
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.625,a,pair_15
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.16666666666666666,h,pair_477
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_15
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.16666666666666666,h,pair_477
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.26666666666666666,a,pair_15
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.2727272727272727,h,pair_477
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.4,a,pair_15
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.45454545454545453,h,pair_477
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.5,a,pair_16
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.3333333333333333,h,pair_478
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_16
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.16666666666666666,h,pair_478
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.2,a,pair_16
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.16666666666666666,h,pair_478
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.4666666666666667,a,pair_16
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.25,h,pair_478
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.5,a,pair_17
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.2857142857142857,h,pair_479
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_17
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.14285714285714285,h,pair_479
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.06666666666666667,a,pair_17
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.36363636363636365,h,pair_479
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.5333333333333333,a,pair_17
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.2727272727272727,h,pair_479
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.25,a,pair_18
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.3333333333333333,h,pair_480
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_18
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.16666666666666666,h,pair_480
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.13333333333333333,a,pair_18
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.2727272727272727,h,pair_480
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.6666666666666666,a,pair_18
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.2727272727272727,h,pair_480
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0,a,pair_19
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.375,h,pair_481
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.4,a,pair_19
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.5,h,pair_481
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0,a,pair_19
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.06666666666666667,h,pair_481
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.23076923076923078,a,pair_19
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.4,h,pair_481
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.2,a,pair_20
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.25,h,pair_482
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.4,a,pair_20
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.375,h,pair_482
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.07692307692307693,a,pair_20
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.13333333333333333,h,pair_482
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.3076923076923077,a,pair_20
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.5333333333333333,h,pair_482
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.2,a,pair_21
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.375,h,pair_483
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.2,a,pair_21
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.375,h,pair_483
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.3076923076923077,a,pair_21
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0,h,pair_483
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.15384615384615385,a,pair_21
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.6,h,pair_483
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.3333333333333333,a,pair_22
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.25,h,pair_484
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_22
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.375,h,pair_484
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0,a,pair_22
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.0625,h,pair_484
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.38461538461538464,a,pair_22
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.25,h,pair_484
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.6,a,pair_23
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.125,h,pair_485
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.2,a,pair_23
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.25,h,pair_485
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.07692307692307693,a,pair_23
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.125,h,pair_485
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.46153846153846156,a,pair_23
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.3125,h,pair_485
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0,a,pair_24
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.125,h,pair_486
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_24
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.375,h,pair_486
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.07692307692307693,a,pair_24
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.25,h,pair_486
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.7692307692307693,a,pair_24
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.25,h,pair_486
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,,a,pair_25
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0,h,pair_487
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,,a,pair_25
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.5,h,pair_487
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,,a,pair_25
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.16666666666666666,h,pair_487
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,,a,pair_25
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.25,h,pair_487
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.375,a,pair_26
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.2857142857142857,h,pair_488
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.25,a,pair_26
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.2857142857142857,h,pair_488
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.06666666666666667,a,pair_26
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0,h,pair_488
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.26666666666666666,a,pair_26
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.38461538461538464,h,pair_488
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.375,a,pair_27
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.16666666666666666,h,pair_489
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_27
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.5,h,pair_489
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.2,a,pair_27
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0,h,pair_489
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.5333333333333333,a,pair_27
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.6153846153846154,h,pair_489
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,,a,pair_28
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0,h,pair_490
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,,a,pair_28
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.5,h,pair_490
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,,a,pair_28
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.16666666666666666,h,pair_490
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,,a,pair_28
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.3333333333333333,h,pair_490
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.375,a,pair_29
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.16666666666666666,h,pair_491
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_29
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.3333333333333333,h,pair_491
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.06666666666666667,a,pair_29
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.08333333333333333,h,pair_491
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.4,a,pair_29
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.5833333333333334,h,pair_491
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,,a,pair_30
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0,h,pair_492
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,,a,pair_30
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.3333333333333333,h,pair_492
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,,a,pair_30
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.3076923076923077,h,pair_492
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,,a,pair_30
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.23076923076923078,h,pair_492
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.625,a,pair_31
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.125,h,pair_493
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_31
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.125,h,pair_493
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.07142857142857142,a,pair_31
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.26666666666666666,h,pair_493
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.6428571428571429,a,pair_31
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.13333333333333333,h,pair_493
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.125,a,pair_32
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.125,h,pair_494
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_32
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.125,h,pair_494
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.07142857142857142,a,pair_32
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.07692307692307693,h,pair_494
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.5,a,pair_32
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.23076923076923078,h,pair_494
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.75,a,pair_33
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.5,h,pair_495
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_33
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.125,h,pair_495
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.14285714285714285,a,pair_33
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.15384615384615385,h,pair_495
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.6428571428571429,a,pair_33
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.07692307692307693,h,pair_495
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.625,a,pair_34
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.125,h,pair_496
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.25,a,pair_34
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0,h,pair_496
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.13333333333333333,a,pair_34
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.46153846153846156,h,pair_496
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.5333333333333333,a,pair_34
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.3076923076923077,h,pair_496
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0,a,pair_35
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.25,h,pair_497
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_35
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.125,h,pair_497
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.06666666666666667,a,pair_35
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.23076923076923078,h,pair_497
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.4,a,pair_35
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.38461538461538464,h,pair_497
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0,a,pair_36
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.125,h,pair_498
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.25,a,pair_36
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.375,h,pair_498
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.06666666666666667,a,pair_36
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.15384615384615385,h,pair_498
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.4666666666666667,a,pair_36
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.23076923076923078,h,pair_498
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.2857142857142857,a,pair_37
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.625,h,pair_499
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.14285714285714285,a,pair_37
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0,h,pair_499
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.4,a,pair_37
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.13333333333333333,h,pair_499
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.06666666666666667,a,pair_37
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.4,h,pair_499
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.2857142857142857,a,pair_38
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.5,h,pair_500
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.14285714285714285,a,pair_38
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.125,h,pair_500
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.26666666666666666,a,pair_38
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.21428571428571427,h,pair_500
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.26666666666666666,a,pair_38
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.2857142857142857,h,pair_500
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.42857142857142855,a,pair_39
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.125,h,pair_501
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.2857142857142857,a,pair_39
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0,h,pair_501
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.26666666666666666,a,pair_39
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.2857142857142857,h,pair_501
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.3333333333333333,a,pair_39
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.21428571428571427,h,pair_501
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.25,a,pair_40
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.25,h,pair_502
